ID,Content,Device,Protocol,Pleasantness_standardized,Attention_standardized,Gender,Unaided_Recall,Aided_Recall,BRAND,luminance,luminance_std,saturation,saturation_std,hue,hue_std,contrast,contrast_std,feature_complexity,feature_complexity_std,entropy,texture_contrast,motion_per_frame,motion_per_frame_std,motion_video,volume_dbfs,volume_dbfs_std,diff_percent,diff_percent_std,Age,GSR_standardized_all,FAA_sign_GSR_standardized,Pleasantness_sign_GSR_standardized,FAA_sign,Pleasantness_sign,Mean_ISC,Alpha_ISC,Beta_ISC,Gamma_ISC,Theta_ISC,Delta_ISC,Position,First_Brand,Duration_AD,Beta_standardized,Gamma_standardized,Alpha_standardized,Delta_standardized,mean_loudness,std_loudness,onset_density,mean_timbre_centroid,std_timbre_centroid,Asymmetry_Delta_standardized,Asymmetry_Theta_standardized,Asymmetry_Beta_standardized,Asymmetry_Gamma_standardized
s1057,AMAZON,Laptop,VOD,0.13379410528056584,-0.04779762199018314,Femmina,1,1,0.13114754098360656,-0.08960181472889629,0.8616383500199187,0.23683610265739885,0.8444539957574513,-0.3360979140007475,0.42603587419302513,-0.30219292339471776,1.1619222263010884,0.08748764865779582,0.7116233528007176,0.1713627851667269,-0.5432499987122369,-0.32712272326907776,1.0566666903537612,-0.8396596065166895,-0.5047048598478195,1.5224356232525953,0.006003665750687037,1.0439391393770532,0.48053479603249316,0.0012533598260148233,0.053992680130845294,0.06681217373591211,-0.11475409836065574,-0.4098360655737705,0.3986245971712512,0.4730355406739041,0.4312241971386408,0.7783251155939973,0.3947180974966189,-0.0841799650469048,4.0,0.0,30,0.06312062616069677,0.16011422717719556,-0.10835189420593862,0.041211374150583985,-0.1338213900507363,-0.11948305810627678,-0.7144509949713278,-0.6357418653396515,-0.6729732811408065,0.17994620718810989,0.007078961769884006,0.22849816672644804,0.007421781277019253
s1057,MULTICENTRUM,Laptop,VOD,-0.14259762239188042,-0.11246909898083542,Femmina,1,1,0.3225806451612903,0.5264862706640616,0.8132225215850042,-0.5239610842992057,0.7517604017912736,0.39875251278338114,0.8218311163759116,-0.3438046140072668,0.9147126127595491,0.847344529322964,1.3401279566044608,-0.0003737542258182945,0.5141164424565474,0.13776800595488753,0.9566228177575924,0.5216861264368141,0.10307622780428936,0.5065342243751013,-0.013020335106304027,0.9581887163634406,0.48053479603249316,0.485463370541347,0.05216304193838356,-0.1295140006684928,0.0967741935483871,-0.2903225806451613,0.544206278578624,0.7004258005557257,0.5866794437387374,0.7232956661002637,0.3574407484899151,0.3531897340084783,5.0,1.0,15,-0.0695973400683817,0.18732396523653314,0.09832313389640478,-0.4291068358393826,-0.042179973826993435,0.16083977269403088,0.11905270413875149,-0.030356855639732686,0.39060352619322697,0.11760748582242239,-0.058902845720023904,0.1335117875252176,-0.29644203351974835
s1057,ORASI,Laptop,VOD,0.3261855795113176,0.3686433524150173,Femmina,1,1,0.8064516129032258,0.8010335988511416,0.927037952846825,0.46149218843055906,1.098403305459613,-0.604438829671007,0.5380155170242948,0.4273463333234322,1.0004901665365378,0.6661214899390698,1.3713249257342748,0.10262414803326263,0.9878470973308632,0.44592006193707434,0.9792462830996653,1.0888390913077475,0.039839598917034515,0.7034933613574328,-0.10873259376948699,1.1306185901196193,0.48053479603249316,-1.0921307508474145,-0.12386150758219742,0.25230187305843793,0.0967741935483871,-0.22580645161290322,0.2399094123746891,0.3729245926348616,0.089412072017701,0.2501501717946364,0.0317248805154873,0.4553353449107592,1.0,1.0,15,0.35867314797310806,-0.20772254702019147,0.5645878305498816,0.3443308632505309,-0.05225778435249653,0.14033277691103824,0.16924394367055293,1.0274767641294449,0.5507567729392413,-0.11686246596434946,-0.05191080948064798,-0.024240447835039994,0.5320623618527138
s1058,CHANEL,TV,YouTube,-0.22636269562190836,-0.12389079360788503,Femmina,0,0,0.08196721311475409,-0.9498552914962446,0.38916955674142406,-0.1311086694273482,0.6328309249580433,0.0292258752883743,0.7623578170452121,-0.34661262312108226,0.6935033728272194,-0.3625658335724596,0.8245124246647412,-0.4252731060696894,-0.24215946695573803,0.1838858861206878,1.0115299856208948,0.4777773842073149,0.08121827473706403,0.7547680846935357,0.04725782079756293,0.9262679487292135,-0.1138467386169601,3.0506370433975736,-0.15822192980794075,-0.9309669395029303,-0.04918032786885246,-0.3114754098360656,0.7117127479283007,0.645237040901118,0.8626664694786841,0.958275321364601,0.5315332363248587,0.5608516715722417,1.0,0.0,30,-0.3630693530025678,-0.5802185891806622,-0.2711043569958114,-0.11322155067600803,-0.04266586651415726,-0.08891292783765761,-0.4083667145478832,-0.5714944278666078,-0.30898806234840304,-0.13885104007807025,-0.12851063295082932,-0.2867376003254885,-0.4832567378113907
s1058,MULTICENTRUM,TV,YouTube,-0.18099383160675342,0.6171611601377134,Femmina,1,1,0.3225806451612903,0.5264862706640616,0.8132225215850042,-0.5239610842992057,0.7517604017912736,0.39875251278338114,0.8218311163759116,-0.3438046140072668,0.9147126127595491,0.847344529322964,1.3401279566044608,-0.0003737542258182945,0.5141164424565474,0.13776800595488753,0.9566228177575924,0.5216861264368141,0.10307622780428936,0.5065342243751013,-0.013020335106304027,0.9581887163634406,-0.1138467386169601,-0.5770486930417023,0.09290022721881572,0.09421487081081217,-0.16129032258064516,-0.16129032258064516,0.7371253391642724,0.7071670023479804,0.9410997146872058,0.9722221144529304,0.6033713100569059,0.4617665542763393,5.0,1.0,15,0.7096811545458348,0.13876834457239695,0.48615537341024734,0.6087418839947926,-0.042179973826993435,0.16083977269403088,0.11905270413875149,-0.030356855639732686,0.39060352619322697,-0.35272071666779725,-0.010281406188961562,0.3541428743461135,0.4667054674639861
s1058,ORASI,TV,YouTube,0.20677144575638848,0.4097988301770138,Femmina,0,0,0.8064516129032258,0.8010335988511416,0.927037952846825,0.46149218843055906,1.098403305459613,-0.604438829671007,0.5380155170242948,0.4273463333234322,1.0004901665365378,0.6661214899390698,1.3713249257342748,0.10262414803326263,0.9878470973308632,0.44592006193707434,0.9792462830996653,1.0888390913077475,0.039839598917034515,0.7034933613574328,-0.10873259376948699,1.1306185901196193,-0.1138467386169601,-0.5452795995886401,0.15883177723825237,-0.12287129841544552,-0.2903225806451613,0.22580645161290322,0.6895822579902411,0.7265204542315692,0.9468723016936872,0.9780712387247724,0.5459633640874557,0.250483931213721,4.0,1.0,15,0.6039241131966456,0.25874680173288217,0.0083196016102373,0.3138740774505166,-0.05225778435249653,0.14033277691103824,0.16924394367055293,1.0274767641294449,0.5507567729392413,-0.10172183893975624,-0.19020915179403927,-0.08687251377388697,0.5109879195922695
s106,COCA COLA,TV,Linear_180,0.28990042273875,0.1062020549770294,Maschio,1,1,0.7868852459016393,-0.341556837460621,0.2905699499217865,0.6382839461276293,0.6099498871869753,-0.9628760908629461,0.21596338365407142,0.08504655567141123,0.8773105081281325,-0.2762266147883268,0.4428433301120208,0.30028779350393275,-0.4629768371552304,0.1450284877623872,0.8240152356697489,0.4229902971796608,0.08799408419286979,0.7961831168064925,0.044844601611813965,0.643920339869925,-1.5667793788711792,0.9169665700467501,-0.516904407496479,-0.4452976670016748,-0.5737704918032787,-0.47540983606557374,0.3340397441559788,0.2064016902737316,0.8965769937111469,0.9349569778017232,-0.0486281860537226,-0.3191087549529849,10.0,1.0,30,-0.27993443919810446,-0.3608307575427551,0.1421856963956335,0.2284766851386307,0.1404470675183434,-0.10039076702243584,0.25724513335706806,-0.4940594511202083,-0.40808810384275507,-0.0803499657294327,0.10737231511026082,0.7448846781998347,1.0969527641891115
s106,FASTWEB,TV,Linear_180,-0.33662967306114505,-0.21227544314006103,Maschio,0,0,0.0967741935483871,-0.04435931346894489,0.9394031021911727,1.2659708395620022,1.4199799499496384,0.25995717461559953,0.7563180707995175,0.3681354744790275,1.0096770601987082,-0.1718056676404361,0.7222696350231386,0.14609018160341197,0.11876529322848647,0.13776668158384334,0.9878288208966907,0.29848186754681316,-0.28319453044982784,1.8939618762971158,-0.13261054390403465,1.4698481485589954,-1.5667793788711792,0.7039312968992542,-0.48499376241666503,-0.48499376241666503,-0.6774193548387096,-0.6774193548387096,0.6241636445300544,0.4214860368823446,0.9553652908811864,0.9540907727545522,0.3999824043740261,0.3898937177581626,5.0,0.0,15,-0.0669403113016123,-0.22258295265792752,0.042802049824625106,-0.044605915242288526,-0.13961481916790539,0.08127966642187844,0.21943518320235436,0.8496689803480656,0.4563357879093337,-0.6407829852383612,0.18241292200053766,0.8318952532040828,0.7935687979712291
s106,LETE,TV,Linear_180,0.2283726122311175,0.15365496510065907,Maschio,0,1,0.25806451612903225,1.6499188401916878,0.7015538430261905,-1.0244689325559522,0.2511716773749725,2.4895226181300125,0.9699963257605593,0.11437465086015033,1.167440630687764,-0.6115711162999761,0.6162012330650989,-0.08132512650192028,-0.45593659796008934,0.04468062381719356,0.8461586727605764,0.05973310515139255,-0.12176693045253954,1.139079323353911,-0.16578307610275006,1.3474427425844568,-1.5667793788711792,0.35091704567900406,-0.09837428228023207,-0.1290178178105187,-0.3548387096774194,-0.41935483870967744,0.4233183252691496,-0.0879636807125044,0.9407121538418776,0.9350097717865156,-0.0192495502804762,0.3480829317103356,3.0,0.0,15,-0.16414699682085376,0.009801919731969293,0.41896038239730227,0.2672471619155675,0.15778563166085938,0.037014621696129464,-0.5836246493064684,1.2414711499956332,0.3881664307116433,0.31705544296229976,0.15787942813596972,0.4999290736711772,0.8776804534714906
s106,MULTICENTRUM,TV,Linear_180,0.2154595953063294,-0.19864131705278965,Maschio,0,0,0.3225806451612903,0.5264862706640616,0.8132225215850042,-0.5239610842992057,0.7517604017912736,0.39875251278338114,0.8218311163759116,-0.3438046140072668,0.9147126127595491,0.847344529322964,1.3401279566044608,-0.0003737542258182945,0.5141164424565474,0.13776800595488753,0.9566228177575924,0.5216861264368141,0.10307622780428936,0.5065342243751013,-0.013020335106304027,0.9581887163634406,-1.5667793788711792,0.5891183731752668,-0.324786233258364,-0.2863425731423647,-0.5483870967741935,-0.4838709677419355,0.3611022318784488,-0.5163310913711248,0.9555412240621456,0.9502722377824278,0.2835815838792165,0.132447205039579,6.0,1.0,15,-0.22180235734297357,0.1060958433263103,0.08780124640416717,0.15007217761625863,-0.042179973826993435,0.16083977269403088,0.11905270413875149,-0.030356855639732686,0.39060352619322697,-0.1889609443389962,-0.16829780655741214,0.26426127513913816,0.975191475144021
