ID,Protocol,Vision
s320,Linear_180,1
s321,Linear_180,1
s308,Linear_60,1
s311,Linear_180,1
s313,Linear_120,1
s314,Linear_120,1
s400,VOD,1
s401,VOD,1
s402,YouTube,1
s403,YouTube,1
s404,YouTube,1
s405,VOD,1
s406,YouTube,1
s407,YouTube,1
s408,YouTube,1
s409,VOD,1
s410,YouTube,1
s411,VOD,1
s412,YouTube,1
s413,VOD,1
s414,YouTube,1
s415,VOD,1
s416,VOD,1
s417,VOD,1
s419,YouTube,1
s420,YouTube,1
s421,VOD,1
s422,YouTube,1
s423,VOD,1
s424,YouTube,1
s1025,VOD,1
s1026,YouTube,1
s1027,YouTube,1
s1028,YouTube,1
s1029,VOD,1
s1030,VOD,1
s1031,YouTube,1
s1032,YouTube,1
s1034,YouTube,1
s1035,VOD,1
s1036,VOD,1
s1037,VOD,1
s1038,VOD,1
s1039,YouTube,1
s1040,YouTube,1
s1041,YouTube,1
s1042,YouTube,1
s1043,YouTube,1
s1045,YouTube,1
s1046,VOD,1
s1047,YouTube,1
s1048,VOD,1
s1049,VOD,1
s1050,YouTube,1
s1051,VOD,1
s1052,YouTube,1
s1053,VOD,1
s1054,VOD,1
s1055,VOD,1
s1056,YouTube,1
s1057,VOD,1
s1058,YouTube,1
s1059,YouTube,1
s1060,YouTube,1
s1061,YouTube,1
s1062,VOD,1
s1063,YouTube,1
s1064,YouTube,1
s1065,YouTube,1
s1066,YouTube,1
s1067,VOD,1
s1068,VOD,1
s1069,YouTube,1
s1070,YouTube,1
s1071,YouTube,1
s1072,VOD,1
s1073,VOD,1
s1074,VOD,1
s1075,YouTube,1
s1076,YouTube,1
s1077,VOD,1
s1078,VOD,1
s1079,YouTube,1
s1080,VOD,1
s1081,YouTube,1
s1082,VOD,1
s1083,YouTube,1
s1084,YouTube,1
s1085,VOD,1
s1086,VOD,1
s1087,YouTube,1
s1088,VOD,1
s1089,VOD,1
s1090,YouTube,1
s1091,YouTube,1
s1092,VOD,1
s1093,VOD,1
s1325,VOD,1
s1094,VOD,1
s1095,VOD,1
s1096,VOD,1
s1097,YouTube,1
s1098,YouTube,1
s1099,YouTube,1
s1100,YouTube,1
s1101,YouTube,1
s1102,VOD,1
s1103,VOD,1
s1104,YouTube,1
s1105,YouTube,1
s1106,VOD,1
s1107,YouTube,1
s1108,VOD,1
s1109,VOD,1
s1110,YouTube,1
s1111,VOD,1
s1113,VOD,1
s1114,YouTube,1
s1115,YouTube,1
